City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
63,Port Lincoln,-34.7333,135.8667,16.279999999999973,66,11,9.23,AU,1674034492
64,Katsuura,35.1333,140.3,10.240000000000009,68,18,4.69,JP,1674034493
65,Lorengau,-2.0226,147.2712,27.74000000000001,73,99,1.99,PG,1674034493
66,Muros,42.7762,-9.0603,6.079999999999984,96,74,9.94,ES,1674034494
67,Atbasar,51.8,68.3333,-14.660000000000025,76,21,1.16,KZ,1674034495
68,Santa Vitoria Do Palmar,-33.5189,-53.3681,21.720000000000027,76,1,3.84,BR,1674034496
69,Georgetown,5.4112,100.3354,31.110000000000014,66,20,3.6,MY,1674034211
70,Port Blair,11.6667,92.75,28.170000000000016,61,75,4.63,IN,1674034225
71,Saint George,37.1041,-113.5841,4.279999999999973,77,75,4.02,US,1674034347
72,Pedernales,18.0384,-71.744,22.45999999999998,61,0,1.58,DO,1674034499
73,Coquimbo,-29.9533,-71.3436,15.0,88,0,0.51,CL,1674034500
74,Torbay,47.6666,-52.7314,8.680000000000007,97,100,5.14,CA,1674034501
75,Port Alfred,-33.5906,26.891,28.029999999999973,78,50,2.24,ZA,1674034502
76,New Norfolk,-42.7826,147.0587,15.870000000000005,58,21,1.79,AU,1674034503
77,Kochubey,44.3861,46.5825,7.1200000000000045,61,41,6.52,RU,1674034504
78,Wuwei,37.9281,102.6414,-5.610000000000014,37,4,0.91,CN,1674034504
79,Richards Bay,-28.783,32.0377,34.89999999999998,44,88,6.63,ZA,1674034505
80,Haines Junction,60.7522,-137.5108,-11.350000000000023,100,93,0.91,CA,1674034506
81,Tabou,4.423,-7.3528,28.579999999999984,70,96,1.41,CI,1674034507
82,Kieta,-6.2167,155.6333,27.129999999999995,85,96,4.01,PG,1674034508
83,Bani Walid,31.7566,13.9942,18.100000000000023,17,0,8.75,LY,1674034509
84,Jinchang,38.4953,102.1739,-6.0,40,0,3.43,CN,1674034510
85,Masyaf,35.0653,36.3406,13.589999999999975,74,80,3.48,SY,1674034510
86,Katangli,51.7102,143.2326,-27.05000000000001,100,87,3.41,RU,1674034511
87,Marsa Matruh,31.3525,27.2453,17.319999999999993,53,0,4.48,EG,1674034512
88,Khatanga,71.9667,102.5,-32.52000000000001,98,89,2.27,RU,1674034513
89,Broken Hill,-31.95,141.4333,23.25999999999999,63,98,8.69,AU,1674034513
90,Mezen,65.8522,44.24,-12.45999999999998,96,86,3.03,RU,1674034514
91,Sitka,57.0531,-135.33,4.089999999999975,75,100,5.14,US,1674034348
92,Gizo,-8.103,156.8419,28.50999999999999,78,100,5.63,SB,1674034516
93,Alvorada,-12.48,-49.1247,21.44999999999999,91,76,1.62,BR,1674034516
94,Inta,66.0317,60.1659,-8.420000000000016,89,100,9.3,RU,1674034517
95,Buala,-8.145,159.5921,26.939999999999998,84,100,4.67,SB,1674034518
96,Cape Town,-33.9258,18.4232,30.20999999999998,73,20,9.77,ZA,1674034401
97,Hasaki,35.7333,140.8333,8.600000000000023,54,55,7.87,JP,1674034519
98,San Juan,-31.5375,-68.5364,22.149999999999977,67,98,5.58,AR,1674034520
99,Constitucion,-35.3333,-72.4167,13.329999999999984,61,23,1.28,CL,1674034397
